"taxon","protectionscore_no_effectiveness_2024","protectionscore_no_effectiveness_2017","protectioncategory_no_effectiveness_2024","protectioncategory_no_effectiveness_2017","protectionscore_2024","protectionscore_2017","protectioncategory_2024","protectioncategory_2017"
"Dalbergia armata",576341.558441559,542167.532467533,"Well Protected","Well Protected",536438.831168831,456238.441558442,"Well Protected","Well Protected"
"Daubenya namaquensis",50.09,0,"Moderately Protected","Not Protected",50.09,0,"Moderately Protected","Not Protected"
"Delosperma ficksburgense",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Delosperma giffenii",10,10,"Poorly Protected","Poorly Protected",10,10,"Poorly Protected","Poorly Protected"
"Delosperma hollandii",61.16,61.33,"Moderately Protected","Moderately Protected",61.16,59.595,"Moderately Protected","Moderately Protected"
"Delosperma mahonii",404.8,396.5,"Well Protected","Well Protected",404.8,396.5,"Well Protected","Well Protected"
"Delosperma parviflorum",1856.2,0,"Well Protected","Not Protected",1856.2,0,"Well Protected","Not Protected"
"Diaphananthe fragrantissima",57.8808446455505,57.8808446455505,"Moderately Protected","Moderately Protected",57.8808446455505,20.0414781297134,"Moderately Protected","Poorly Protected"
"Diascia alonsooides",3707.34,409.72,"Well Protected","Well Protected",3707.305,409.72,"Well Protected","Well Protected"
"Diascia veronicoides",13629.3,13630.3,"Well Protected","Well Protected",13629.3,13630.3,"Well Protected","Well Protected"
"Dichilus strictus",12456.7,12177.5,"Well Protected","Well Protected",12456.7,12177.5,"Well Protected","Well Protected"
"Dicliptera fruticosa",825.65,261.75,"Well Protected","Well Protected",825.65,261.75,"Well Protected","Well Protected"
"Dicliptera magaliesbergensis",478.95,481.6,"Well Protected","Well Protected",165.335,247.43,"Well Protected","Well Protected"
"Diclis petiolaris",16085.1063829787,16261.7021276596,"Well Protected","Well Protected",15388.2978723404,16086.3829787234,"Well Protected","Well Protected"
"Dicoma kurumanii",10,10,"Poorly Protected","Poorly Protected",10,10,"Poorly Protected","Poorly Protected"
"Dicrocaulon ramulosum",5750.6,5553.1,"Well Protected","Well Protected",2938.55,5553.1,"Well Protected","Well Protected"
"Dierama formosum",1346.8,1019.85,"Well Protected","Well Protected",1335.8,882.075,"Well Protected","Well Protected"
"Dierama nebrownii",18.95,17.05,"Poorly Protected","Poorly Protected",13.925,8.525,"Poorly Protected","Poorly Protected"
"Dierama pulcherrimum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Digitaria milanjiana",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Dimorphotheca pinnata",37807.9,34385.7,"Well Protected","Well Protected",37807.9,34385.7,"Well Protected","Well Protected"
"Dioscorea quartiniana",14653.25,13095.55,"Well Protected","Well Protected",12669.91,10290.27,"Well Protected","Well Protected"
"Diosma recurva",347.71,340.73,"Well Protected","Well Protected",293.62,240.61,"Well Protected","Well Protected"
"Diplosoma luckhoffii",1919.55,1919.9,"Well Protected","Well Protected",959.775,1919.9,"Well Protected","Well Protected"
"Disa bivalvata",50958.5,50869.8,"Well Protected","Well Protected",30917.17,25336.63,"Well Protected","Well Protected"
"Disa introrsa",73.4648139847602,73.5096369341103,"Moderately Protected","Moderately Protected",36.8220528910802,36.7548184670551,"Poorly Protected","Poorly Protected"
"Disa karooica",71.59,71.59,"Moderately Protected","Moderately Protected",71.59,37.867,"Moderately Protected","Poorly Protected"
"Disa obliqua subsp. clavigera",9046.3,9012.05,"Well Protected","Well Protected",5826.55,4705.315,"Well Protected","Well Protected"
"Disa oreophila subsp. oreophila",2409.35,2388.4,"Well Protected","Well Protected",2381.025,2336.395,"Well Protected","Well Protected"
"Disa spathulata subsp. tripartita",5.91,5.33,"Poorly Protected","Poorly Protected",3.263,1.429,"Not Protected","Not Protected"
"Disa tripetaloides",48180.8,48090.9,"Well Protected","Well Protected",30373.63,24286.51,"Well Protected","Well Protected"
"Disparago tortilis",34537.4,32679,"Well Protected","Well Protected",34537.4,32679,"Well Protected","Well Protected"
"Disperis capensis",77894.9,77398.8,"Well Protected","Well Protected",49790.56,42820.44,"Well Protected","Well Protected"
"Disperis concinna",1214.7,1155.2,"Well Protected","Well Protected",1195.475,1082.648,"Well Protected","Well Protected"
"Disperis woodii",104.05,98.54,"Well Protected","Moderately Protected",102.675,66.5,"Well Protected","Moderately Protected"
"Dovyalis lucida",1373.25,1205.3,"Well Protected","Well Protected",1170.175,911,"Well Protected","Well Protected"
"Dracosciadium saniculifolium",54.9488054607508,54.9488054607508,"Moderately Protected","Moderately Protected",54.9488054607508,54.9488054607508,"Moderately Protected","Moderately Protected"
"Dracoscirpoides ficinioides",58838.1381381381,57493.3933933934,"Well Protected","Well Protected",58740.2402402402,57092.3423423423,"Well Protected","Well Protected"
"Drimia ecklonii",1045.8,1045.85,"Well Protected","Well Protected",547.85,614.81,"Well Protected","Well Protected"
"Drimia haworthioides",542.09,538.94,"Well Protected","Well Protected",541,534.9,"Well Protected","Well Protected"
"Drosanthemum capillare",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Drosanthemum floribundum",5007.80780780781,5021.32132132132,"Well Protected","Well Protected",5007.80780780781,5021.32132132132,"Well Protected","Well Protected"
"Drosanthemum oculatum",3082.9,3083.4,"Well Protected","Well Protected",3082.9,3083.4,"Well Protected","Well Protected"
"Drosanthemum prostratum",10,10,"Poorly Protected","Poorly Protected",5,5,"Poorly Protected","Poorly Protected"
"Drosanthemum salicola",3.1,3.1,"Not Protected","Not Protected",2.25,0.39,"Not Protected","Not Protected"
"Drosanthemum worcesterense",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Drosera hilaris",4674.35,4670.55,"Well Protected","Well Protected",2482.68,2398.335,"Well Protected","Well Protected"
"Drosera pauciflora",1598.3,1612.7,"Well Protected","Well Protected",819.83,684.99,"Well Protected","Well Protected"
"Dryopteris inaequalis",1665.85,1521.3,"Well Protected","Well Protected",1371.115,828.745,"Well Protected","Well Protected"
"Eberlanzia sedoides",8074.4,7761.4,"Well Protected","Well Protected",8074.4,7761.4,"Well Protected","Well Protected"
"Edmondia sesamoides",66190.2,66098.1,"Well Protected","Well Protected",41173.36,30362.13,"Well Protected","Well Protected"
"Ehrharta bulbosa",12548.2,12553.85,"Well Protected","Well Protected",6961.715,6420.915,"Well Protected","Well Protected"
"Ehrharta setacea subsp. disticha",112.3,112.3,"Well Protected","Well Protected",65.675,72.775,"Moderately Protected","Moderately Protected"
"Elaphoglossum angustatum",1617.85,1619.25,"Well Protected","Well Protected",1306.905,890.7,"Well Protected","Well Protected"
"Elaphoglossum hybridum",119.64,125.68,"Well Protected","Well Protected",113.365,101.058,"Well Protected","Well Protected"
"Elegia racemosa",68940.4,68025.6,"Well Protected","Well Protected",49377.27,40884.69,"Well Protected","Well Protected"
"Encephalartos lebomboensis",10.8399703648824,10.8399703648824,"Poorly Protected","Poorly Protected",10.4255417669939,5.41998518244119,"Poorly Protected","Poorly Protected"
"Endostemon tenuiflorus",34478,33383.55,"Well Protected","Well Protected",33510.54,32992.695,"Well Protected","Well Protected"
"Epilobium hirsutum",385616.197183099,248033.802816901,"Well Protected","Well Protected",385616.197183099,248033.802816901,"Well Protected","Well Protected"
"Equilabium laxiflorum",8638.8,7705,"Well Protected","Well Protected",6632.07,4527.86,"Well Protected","Well Protected"
"Equilabium petiolare",829.6,777.7,"Well Protected","Well Protected",757.52,518.95,"Well Protected","Well Protected"
"Eragrostis aethiopica",60876.7,59595.9,"Well Protected","Well Protected",59679.865,58894.11,"Well Protected","Well Protected"
"Eragrostis macrochlamys",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Eragrostis sclerantha subsp. sclerantha",20841.7,19470,"Well Protected","Well Protected",15899.365,12430.14,"Well Protected","Well Protected"
"Eragrostis superba",341247.375886525,317058.581560284,"Well Protected","Well Protected",341247.375886525,317058.581560284,"Well Protected","Well Protected"
"Erica abietina subsp. aurantiaca",10002.65,10002.15,"Well Protected","Well Protected",6494.475,4891.08,"Well Protected","Well Protected"
"Erica argentea",7465.4,7469.45,"Well Protected","Well Protected",3920.725,4211.76,"Well Protected","Well Protected"
"Erica bicolor",23763.9,23800.2,"Well Protected","Well Protected",12126.1,13020.83,"Well Protected","Well Protected"
"Erica binaria",98.1829573934837,98.1829573934837,"Moderately Protected","Moderately Protected",49.0914786967419,49.0914786967419,"Poorly Protected","Poorly Protected"
"Erica brachialis",12.66,10.95,"Poorly Protected","Poorly Protected",8.395,6.807,"Poorly Protected","Poorly Protected"
"Erica brachysepala",8.25,8.28,"Poorly Protected","Poorly Protected",4.205,1.832,"Not Protected","Not Protected"
"Erica caprina",1629.05,1629.8,"Well Protected","Well Protected",1090.675,814.86,"Well Protected","Well Protected"
"Erica cerinthoides",122023.379461034,112994.027676621,"Well Protected","Well Protected",89868.7764020393,59939.963583394,"Well Protected","Well Protected"
"Erica cincta",100,100,"Well Protected","Well Protected",50,50,"Moderately Protected","Moderately Protected"
"Erica depressa",98.2194141298105,98.2194141298105,"Moderately Protected","Moderately Protected",41.9184376794945,49.1097070649052,"Poorly Protected","Poorly Protected"
"Erica exleeana",6733.35,6679.3,"Well Protected","Well Protected",4029.83,3305.99,"Well Protected","Well Protected"
"Erica glaphyra",1078.7,1079,"Well Protected","Well Protected",1078.7,560.15,"Well Protected","Well Protected"
"Erica inclusa",2181.6,2182.1,"Well Protected","Well Protected",1083.32,920.29,"Well Protected","Well Protected"
"Erica ioniana",30.1312649164678,30.1312649164678,"Poorly Protected","Poorly Protected",24.791169451074,30.1312649164678,"Poorly Protected","Poorly Protected"
"Erica juniperina",18.1,18.1,"Poorly Protected","Poorly Protected",9.05,9.05,"Poorly Protected","Poorly Protected"
"Erica leptopus",5439.7,5447.2,"Well Protected","Well Protected",2830.45,3335.04,"Well Protected","Well Protected"
"Erica limosa",272.7,272.9,"Well Protected","Well Protected",74.52,136.41,"Moderately Protected","Well Protected"
"Erica maderi",9166.7,9171.4,"Well Protected","Well Protected",5767.25,4516.7,"Well Protected","Well Protected"
"Erica miniscula",53.735632183908,53.8587848932677,"Moderately Protected","Moderately Protected",26.867816091954,12.9720853858785,"Poorly Protected","Poorly Protected"
"Erica opulenta",16340.9,16172.3,"Well Protected","Well Protected",12016.99,10660.73,"Well Protected","Well Protected"
"Erica palliiflora",18751.3,18744.35,"Well Protected","Well Protected",10647,9885.025,"Well Protected","Well Protected"
"Erica pilosiflora subsp. pilosiflora",628.05,625.7,"Well Protected","Well Protected",336.8,312.15,"Well Protected","Well Protected"
"Erica praecox",656.85,656.9,"Well Protected","Well Protected",345.925,327.1,"Well Protected","Well Protected"
"Erica pulchella",4890.7,4861.8,"Well Protected","Well Protected",2920.1,2100.15,"Well Protected","Well Protected"
"Erica pyxidiflora",275.7,275.85,"Well Protected","Well Protected",164.435,137.545,"Well Protected","Well Protected"
"Erica scabriuscula",4831.4,4855.9,"Well Protected","Well Protected",2745.62,2458.23,"Well Protected","Well Protected"
"Erica tegetiformis",108.51,108.53,"Well Protected","Well Protected",71.405,46.012,"Moderately Protected","Poorly Protected"
"Erica trichophylla",2477.17717717718,2477.77777777778,"Well Protected","Well Protected",1440.54054054054,943.873873873874,"Well Protected","Well Protected"
"Erica viscidiflora",20,20,"Poorly Protected","Poorly Protected",10,10,"Poorly Protected","Poorly Protected"
"Erica vlokii",919.6,919.75,"Well Protected","Well Protected",723.7,527.95,"Well Protected","Well Protected"
"Eriosema cordatum",29965.5813953488,26313.9534883721,"Well Protected","Well Protected",29965.5813953488,26313.9534883721,"Well Protected","Well Protected"
"Eriospermum appendiculatum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Eriospermum lanuginosum",366.05,367.75,"Well Protected","Well Protected",183.025,220.395,"Well Protected","Well Protected"
"Eriospermum viscosum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Euchaetis ericoides",1188.9,1189.8,"Well Protected","Well Protected",607.925,706.4,"Well Protected","Well Protected"
"Euchaetis laevigata",315.1,315.2,"Well Protected","Well Protected",157.55,32.8,"Well Protected","Poorly Protected"
"Euclea polyandra",59672.5,58536.5,"Well Protected","Well Protected",44005.49,39045.8,"Well Protected","Well Protected"
"Euclea racemosa subsp. bernardii",423.7,424,"Well Protected","Well Protected",260.575,231.175,"Well Protected","Well Protected"
"Euclea undulata",1030449.24924925,698533.033033033,"Well Protected","Well Protected",920438.408408408,551473.723723724,"Well Protected","Well Protected"
"Eucomis humilis",7604.1,7608.9,"Well Protected","Well Protected",7604.1,7489.225,"Well Protected","Well Protected"
"Eucomis vandermerwei",2.55170521168575,2.55644537584512,"Not Protected","Not Protected",2.54852431205249,1.73391462714867,"Not Protected","Not Protected"
"Euphorbia arida",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Euphorbia ericoides",12429.8,12386.35,"Well Protected","Well Protected",12368.39,6315.8,"Well Protected","Well Protected"
"Euphorbia excelsa",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Euphorbia grandidens",14903,12410.8,"Well Protected","Well Protected",11954.18,10558.29,"Well Protected","Well Protected"
"Euphorbia gummifera",21932.5,21938.3,"Well Protected","Well Protected",21932.5,15831.65,"Well Protected","Well Protected"
"Euphorbia heptagona",7494.4,4308.3,"Well Protected","Well Protected",6717.22,3998.32,"Well Protected","Well Protected"
"Euphorbia hypogaea",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Euphorbia multiceps",5912.25,5914.85,"Well Protected","Well Protected",5911.7,5648.375,"Well Protected","Well Protected"
"Euphorbia muraltioides",10,0,"Poorly Protected","Not Protected",10,0,"Poorly Protected","Not Protected"
"Euphorbia muricata",3338.35,3338.65,"Well Protected","Well Protected",1659.315,3338.65,"Well Protected","Well Protected"
"Euphorbia rhombifolia",570793.693693694,299342.942942943,"Well Protected","Well Protected",446712.042042042,210851.051051051,"Well Protected","Well Protected"
"Euryops gracilipes",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Euryops lasiocladus",6,6,"Poorly Protected","Poorly Protected",3,3,"Not Protected","Not Protected"
"Euryops laxus",33711.6,31587.7,"Well Protected","Well Protected",30118.79,16128.74,"Well Protected","Well Protected"
"Euryops oligoglossus subsp. racemosus",6.95,6.95,"Poorly Protected","Poorly Protected",6.95,6.95,"Poorly Protected","Poorly Protected"
"Euryops subcarnosus subsp. minor",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Euryops subcarnosus subsp. subcarnosus",5.4,5.4,"Poorly Protected","Poorly Protected",5.4,2.7,"Poorly Protected","Not Protected"
"Felicia deserti",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Felicia hispida",1461.65,1465.85,"Well Protected","Well Protected",736.225,991.15,"Well Protected","Well Protected"
"Felicia lasiocarpa",1566.35,1566.5,"Well Protected","Well Protected",1566.35,838.05,"Well Protected","Well Protected"
"Ferraria flava",2726.95,2640.45,"Well Protected","Well Protected",1369.15,2634.7,"Well Protected","Well Protected"
"Ferraria schaeferi",99.05,0,"Moderately Protected","Not Protected",98.45,0,"Moderately Protected","Not Protected"
"Ficinia compasbergensis",12054.3,1732.5,"Well Protected","Well Protected",12008.76,966.22,"Well Protected","Well Protected"
"Ficinia praemorsa",3896.3,3898.2,"Well Protected","Well Protected",1985.15,577.82,"Well Protected","Well Protected"
"Fockea edulis",2161.67,1165.2,"Well Protected","Well Protected",2066.015,1045.32,"Well Protected","Well Protected"
"Freesia fergusoniae",33.92,33.95,"Poorly Protected","Poorly Protected",32.843,32.368,"Poorly Protected","Poorly Protected"
"Freesia laxa subsp. azurea",3102.6,3110.55,"Well Protected","Well Protected",3102.6,2683.915,"Well Protected","Well Protected"
"Freylinia vlokii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Frithia humilis",1787.68768768769,1331.23123123123,"Well Protected","Well Protected",1485.43543543544,954.654654654655,"Well Protected","Well Protected"
"Galium rourkei",40,40,"Poorly Protected","Poorly Protected",20,20,"Poorly Protected","Poorly Protected"
"Gasteria polita",53.9,53.9,"Moderately Protected","Moderately Protected",33.25,30.25,"Poorly Protected","Poorly Protected"
"Geissorhiza confusa",26812.7,26842.4,"Well Protected","Well Protected",13794.75,14398.17,"Well Protected","Well Protected"
"Geissorhiza corrugata",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Geissorhiza eurystigma",6.75,5.65,"Poorly Protected","Poorly Protected",4.525,2.825,"Not Protected","Not Protected"
"Geissorhiza foliosa",1002.7,1003.7,"Well Protected","Well Protected",724,589.4,"Well Protected","Well Protected"
"Geissorhiza heterostyla",56869.3,56601.7,"Well Protected","Well Protected",41336.43,34232.14,"Well Protected","Well Protected"
"Geissorhiza spiralis",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Geranium arabicum subsp. arabicum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Geranium drakensbergensis",477.55,477.55,"Well Protected","Well Protected",477.55,299.725,"Well Protected","Well Protected"
"Geranium ornithopodon",1300.95,1302.96,"Well Protected","Well Protected",824.182,666.452,"Well Protected","Well Protected"
"Gladiolus appendiculatus",1158.42,959.68,"Well Protected","Well Protected",1076.345,572.775,"Well Protected","Well Protected"
"Gladiolus ceresianus",328.65,328.75,"Well Protected","Well Protected",166.9,285.65,"Well Protected","Well Protected"
"Gladiolus comptonii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Gladiolus geardii",3621.5,3585.9,"Well Protected","Well Protected",2753.1,2707.65,"Well Protected","Well Protected"
"Gladiolus hirsutus",37035.9,36942.3,"Well Protected","Well Protected",22484.93,19123.41,"Well Protected","Well Protected"
"Gladiolus marlothii",226.35,226.45,"Well Protected","Well Protected",226.35,226.45,"Well Protected","Well Protected"
"Gladiolus ochroleucus",1569.5,229.3,"Well Protected","Well Protected",1569.5,134.71,"Well Protected","Well Protected"
"Gladiolus parvulus",15772.2,15768.4,"Well Protected","Well Protected",15698.45,15059.1,"Well Protected","Well Protected"
"Gladiolus splendens",674.55,674.9,"Well Protected","Well Protected",618.39,674.9,"Well Protected","Well Protected"
"Glottiphyllum difforme",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Gnidia nitida",115.4,115.4,"Well Protected","Well Protected",104.665,64.08,"Well Protected","Moderately Protected"
"Gnidia simplex",10437.6,10375.8,"Well Protected","Well Protected",5844.61,3666.38,"Well Protected","Well Protected"
"Gnidia sonderiana",1.1821505910753,1.1821505910753,"Not Protected","Not Protected",0.591075295537648,0.591075295537648,"Not Protected","Not Protected"
"Gomphostigma incomptum",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Grewia avellana",1367.2,1296.45,"Well Protected","Well Protected",1367.15,1015.8,"Well Protected","Well Protected"
"Gymnosporia gariepensis",1113.35,1113.44,"Well Protected","Well Protected",111.335,111.344,"Well Protected","Well Protected"
"Gymnosporia nemorosa",145038.461538462,131901.025641026,"Well Protected","Well Protected",112743.846153846,112631.846153846,"Well Protected","Well Protected"
"Habenaria trilobulata",165.11,163.94,"Well Protected","Well Protected",162.763,56.277,"Well Protected","Moderately Protected"
"Haworthia floribunda",45,45,"Poorly Protected","Poorly Protected",17.5,10.5,"Poorly Protected","Poorly Protected"
"Haworthia lockwoodii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Haworthia nortieri",24684.3,24718.5,"Well Protected","Well Protected",13565.2,19599.95,"Well Protected","Well Protected"
"Haworthia wittebergensis",84.5,84.5,"Moderately Protected","Moderately Protected",50.35,84.5,"Moderately Protected","Moderately Protected"
"Haworthiopsis bruynsii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Haworthiopsis sordida",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Haworthiopsis tessellata",86216.8,24503.9,"Well Protected","Well Protected",82771.74,19819.17,"Well Protected","Well Protected"
"Hebenstretia dregei",83.7486457204767,83.8028169014084,"Moderately Protected","Moderately Protected",58.3694474539545,41.9014084507042,"Moderately Protected","Poorly Protected"
"Hebenstretia fastigiosa",5499.8,5520.9,"Well Protected","Well Protected",2854.53,3125.88,"Well Protected","Well Protected"
"Hebenstretia ramosissima",43.75,43.8,"Poorly Protected","Poorly Protected",43.75,43.8,"Poorly Protected","Poorly Protected"
"Helichrysum aureum",64807.5,54091.7,"Well Protected","Well Protected",59292.75,30710.93,"Well Protected","Well Protected"
"Helichrysum bachmannii",1.99805983226937,2.00744774064338,"Not Protected","Not Protected",1.83064213293278,0.944892977844536,"Not Protected","Not Protected"
"Helichrysum dasycephalum",621.2,626.25,"Well Protected","Well Protected",581.425,540.83,"Well Protected","Well Protected"
"Helichrysum decorum",16547.7,16096.7,"Well Protected","Well Protected",16547.7,16096.7,"Well Protected","Well Protected"
"Helichrysum elegantissimum",122.9,122.9,"Well Protected","Well Protected",122.9,61.45,"Well Protected","Moderately Protected"
"Helichrysum harveyanum",5429.3,5225.45,"Well Protected","Well Protected",2746.915,2920.475,"Well Protected","Well Protected"
"Helichrysum haygarthii",10,10,"Poorly Protected","Poorly Protected",10,10,"Poorly Protected","Poorly Protected"
"Helichrysum intricatum",47.15,47.16,"Poorly Protected","Poorly Protected",22.983,23.978,"Poorly Protected","Poorly Protected"
"Helichrysum leontonyx",35405,34494.9,"Well Protected","Well Protected",35405,34494.9,"Well Protected","Well Protected"
"Helichrysum mimetes",336445.454545455,304781.818181818,"Well Protected","Well Protected",280546.818181818,206109.090909091,"Well Protected","Well Protected"
"Helichrysum mixtum",418702.521008403,371241.176470588,"Well Protected","Well Protected",373853.613445378,275168.655462185,"Well Protected","Well Protected"
"Helichrysum moeserianum",30310.4,29422.9,"Well Protected","Well Protected",30310.4,29422.9,"Well Protected","Well Protected"
"Helichrysum mutabile",4400.45,2488.4,"Well Protected","Well Protected",3252.19,1670.44,"Well Protected","Well Protected"
"Helichrysum splendidum",1539510.25641026,1173617.94871795,"Well Protected","Well Protected",1371377.17948718,647924.358974359,"Well Protected","Well Protected"
"Helichrysum stellatum",3249.1,3037.75,"Well Protected","Well Protected",1937.68,1624.42,"Well Protected","Well Protected"
"Heliophila amplexicaulis",13175,12870.1,"Well Protected","Well Protected",13175,12870.1,"Well Protected","Well Protected"
"Heliophila cornuta",40540.25,26678,"Well Protected","Well Protected",30858.99,16389.09,"Well Protected","Well Protected"
"Heliophila crithmifolia",49758.4,48460.3,"Well Protected","Well Protected",49758.4,48460.3,"Well Protected","Well Protected"
"Heliophila elongata",20151.4,19763.4,"Well Protected","Well Protected",20151.4,19763.4,"Well Protected","Well Protected"
"Heliophila namaquana",2405.6,2157.7,"Well Protected","Well Protected",2405.6,2157.7,"Well Protected","Well Protected"
"Heliophila remotiflora",17.4,17.4,"Poorly Protected","Poorly Protected",17.4,17.4,"Poorly Protected","Poorly Protected"
"Heliophila seselifolia",17086.2,15093.9,"Well Protected","Well Protected",17086.2,15093.9,"Well Protected","Well Protected"
"Heliotropium strigosum",1354286.60714286,1233878.57142857,"Well Protected","Well Protected",1354286.60714286,1233878.57142857,"Well Protected","Well Protected"
"Hemarthria altissima",696158.858858859,555997.597597598,"Well Protected","Well Protected",696158.858858859,555997.597597598,"Well Protected","Well Protected"
"Hereroa crassa",9212.5,9214.4,"Well Protected","Well Protected",9211.4,8674.35,"Well Protected","Well Protected"
"Hermannia abrotanoides",352.6,354.3,"Well Protected","Well Protected",282.85,354.3,"Well Protected","Well Protected"
"Hermannia althaeifolia",31731.8,30363.1,"Well Protected","Well Protected",31731.8,30363.1,"Well Protected","Well Protected"
"Hermannia damarana",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Hermannia eenii",943.2,943.35,"Well Protected","Well Protected",943.2,943.35,"Well Protected","Well Protected"
"Hermannia filifolia",56892.4,35255.4,"Well Protected","Well Protected",51006.75,22539.08,"Well Protected","Well Protected"
"Hermannia gerrardii",5550.35,5371.8,"Well Protected","Well Protected",5286.715,2951.655,"Well Protected","Well Protected"
"Hermannia jacobeifolia",3838.45,1476.2,"Well Protected","Well Protected",3838.45,1476.2,"Well Protected","Well Protected"
"Hermannia lavandulifolia",197,197.4,"Well Protected","Well Protected",96.32,23.26,"Moderately Protected","Poorly Protected"
"Hermas intermedia",237.57,237.62,"Well Protected","Well Protected",136.77,113.201,"Well Protected","Well Protected"
"Hermbstaedtia caffra",8430.6,7898.5,"Well Protected","Well Protected",8430.6,4739.27,"Well Protected","Well Protected"
"Hermbstaedtia capitata",30,30,"Poorly Protected","Poorly Protected",16,20,"Poorly Protected","Poorly Protected"
"Hermbstaedtia odorata",645630.989010989,588829.89010989,"Well Protected","Well Protected",645630.989010989,588829.89010989,"Well Protected","Well Protected"
"Hesperantha bulbifera",163.67,20.8,"Well Protected","Poorly Protected",163.67,18.66,"Well Protected","Poorly Protected"
"Hesperantha glabrescens",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Hesperantha helmei",59.9690880989181,0,"Moderately Protected","Not Protected",59.9690880989181,0,"Moderately Protected","Not Protected"
"Hesperantha huttonii",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Hesperantha muirii",3.9,3.9,"Not Protected","Not Protected",3.805,1.93,"Not Protected","Not Protected"
"Hesperantha schelpeana",1017.8,1029.4,"Well Protected","Well Protected",1017.8,1029.4,"Well Protected","Well Protected"
"Hessea monticola",18142.6,18168.9,"Well Protected","Well Protected",9245.75,9674.97,"Well Protected","Well Protected"
"Heteropogon contortus",5075960,3845309.56521739,"Well Protected","Well Protected",5075960,3845309.56521739,"Well Protected","Well Protected"
"Hewittia malabarica",44478.7,44396.6,"Well Protected","Well Protected",44478.7,44396.6,"Well Protected","Well Protected"
"Hibiscus vitifolius subsp. vitifolius",169.3,154.15,"Well Protected","Well Protected",164.425,77.175,"Well Protected","Moderately Protected"
"Holarrhena pubescens",3804.3,2993.3,"Well Protected","Well Protected",3424.575,1572.6,"Well Protected","Well Protected"
"Holothrix brevipetala",12024.6,11980.1,"Well Protected","Well Protected",6929.645,6112.03,"Well Protected","Well Protected"
"Hugonia orientalis",1497.7,1497.9,"Well Protected","Well Protected",1497.7,748.95,"Well Protected","Well Protected"
"Hymenolepis dentata",8794.95,8799.7,"Well Protected","Well Protected",4694.2,5098.5,"Well Protected","Well Protected"
"Hymenophyllum aeruginosum",161.82,161.96,"Well Protected","Well Protected",155.159,83.417,"Well Protected","Moderately Protected"
"Hyparrhenia tamba",40192.2,38203.5,"Well Protected","Well Protected",40192.2,38203.5,"Well Protected","Well Protected"
"Hypericophyllum elatum",20,0,"Poorly Protected","Not Protected",15,0,"Poorly Protected","Not Protected"
"Hypericum aethiopicum subsp. aethiopicum",2966.7,1137.2,"Well Protected","Well Protected",2966.7,1137.2,"Well Protected","Well Protected"
"Hypocalyptus oxalidifolius",16665.3,16617.4,"Well Protected","Well Protected",16665.3,16617.4,"Well Protected","Well Protected"
"Hypoxis rigidula",3636688.46153846,3299907.69230769,"Well Protected","Well Protected",3461251.92307692,3174948.07692308,"Well Protected","Well Protected"
"Hypoxis zeyheri",493.5,493.7,"Well Protected","Well Protected",476.025,475.175,"Well Protected","Well Protected"
"Indigofera circinnata",3560.95,3156.7,"Well Protected","Well Protected",2183.8,1164.445,"Well Protected","Well Protected"
"Indigofera daleoides",138100.3,121286.1,"Well Protected","Well Protected",138100.3,121286.1,"Well Protected","Well Protected"
"Indigofera damarana",46.9,46.95,"Poorly Protected","Poorly Protected",46.9,46.95,"Poorly Protected","Poorly Protected"
"Indigofera floribunda",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
"Indigofera limosa",0,0,"Not Protected","Not Protected",0,0,"Not Protected","Not Protected"
